"id","dt","image","time_seen","location","site","CPMD","side","season"
"Kudremukh16_TGRu47",2015-06-02,"Bhadra\6699_KM_PH_020615_L",1899-12-30 04:22:00,NA,"Bhadra","PH","L","2015"
"Kudremukh16_TGRu47",2015-06-02,"Bhadra\6699_KM_PH_020615_R",1899-12-30 04:22:00,NA,"Bhadra","PH","R","2015"
"Kudremukh16_TGRu47",2015-06-02,"Bhadra\6699_KM_PH_020615_R",1899-12-30 04:22:00,NA,"Bhadra","PH","R","2015"
"Bhadra_TGRs6942",2015-06-07,"Bhadra\6700_KM_PH_070615_L",1899-12-30 19:25:00,NA,"Bhadra","PH","L","2015"
"Bhadra_TGRs6942",2015-06-07,"Bhadra\6700_KM_PH_070615_L",1899-12-30 19:25:00,NA,"Bhadra","PH","L","2015"
"Bhadra_TGRs6942",2015-06-07,"Bhadra\6700_KM_PH_070615_R",1899-12-30 19:25:00,NA,"Bhadra","PH","R","2015"
"Bhadra_TGRs6942",2015-06-07,"Bhadra\6700_KM_PH_070615_R",1899-12-30 19:25:00,NA,"Bhadra","PH","R","2015"
"Bhadra_TGRs6943",2015-06-10,"Bhadra\6701_KM_PH_100615_L",1899-12-30 02:45:00,NA,"Bhadra","PH","L","2015"
"Bhadra_TGRs6943",2015-06-10,"Bhadra\6701_KM_PH_100615_L",1899-12-30 02:45:00,NA,"Bhadra","PH","L","2015"
"Bhadra_TGRs6943",2015-06-10,"Bhadra\6701_KM_PH_100615_R",1899-12-30 02:45:00,NA,"Bhadra","PH","R","2015"
"Bhadra_TGRs6943",2015-06-10,"Bhadra\6701_KM_PH_100615_R",1899-12-30 02:45:00,NA,"Bhadra","PH","R","2015"
"Satyamangalam_TGRs5558",2015-06-19,"Satyamangalam\5362_SM_PH_190615",1899-12-30 20:52:00,NA,"Satyamangalam","PH","L","2015"
"Satyamangalam_TGRs5558",2015-06-19,"Satyamangalam\5362_SM_PH_190615",1899-12-30 20:52:00,NA,"Satyamangalam","PH","L","2015"
"Nagarahole_TGRs5562",2015-07-03,"Nagarahole\5366_NH_PH_030715",1899-12-30 12:00:00,NA,"Nagarahole","PH","L","2015"
"Nagarahole_TGRs5562",2015-07-03,"Nagarahole\5366_NH_PH_030715",1899-12-30 12:00:00,NA,"Nagarahole","PH","L","2015"
"Unknown_TGRs5560",2015-07-03,"Unknown\5364_BBP_PH_030715",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"Unknown_TGRs5560",2015-07-03,"Unknown\5364_BBP_PH_030715",1899-12-30 12:00:00,NA,"Unknown","PH","R","2015"
"Unknown_TGRs5560",2015-07-03,"Wayanad\5365_BBP_PH-030715-L",1899-12-30 12:00:01,NA,"Unknown","PH","L","2015"
"Unknown_TGRs5560",2015-07-03,"Wayanad\5365_BBP_PH-030715-L",1899-12-30 12:00:01,NA,"Unknown","PH","L","2015"
"Bhadra_TGRs5557",2015-07-08,"Bhadra\6748_SHT-01-M-Right",1899-12-30 08:31:00,NA,"Bhadra","PH","R","2016"
"Bhadra_TGRs5557",2015-07-08,"Bhadra\6748_SHT-01-M-Right",1899-12-30 08:31:00,NA,"Bhadra","PH","R","2016"
"Bandipur_TGRs5563",2015-07-09,"Bandipur\5367_BP_PH_090715_L",1899-12-30 12:00:00,NA,"Bandipur","PH","LV","2015"
"Bandipur_TGRs5563",2015-07-09,"Bandipur\5367_BP_PH_090715_R",1899-12-30 12:00:00,NA,"Bandipur","PH","RV","2015"
"Wayanad13_TGRu194",2015-07-09,"Wayanad\5370_WY_PH_090715",1899-12-30 12:00:00,NA,"Wayanad","PH","LV","2015"
"BPT-236",2015-07-11,"Wayanad\5368_WY_PH_110715",1899-12-30 12:00:00,NA,"Wayanad","PH","RV","2015"
"BPT-236",2015-07-14,"Wayanad\5369_WY_PH_140715",1899-12-30 06:00:00,NA,"Wayanad","PH","RV","2015"
"NHT-R127",2015-07-22,"Nagarahole\5371_NH_PH_220715",1899-12-30 12:00:00,NA,"Nagarahole","PH","L","2015"
